#  Time     Vel  VelUpp  VelLow
 440.00    2.50    7.00   -2.00
 441.00    5.00    9.50    0.50
 442.00    7.50   12.00    3.00
 443.00   10.00   14.50    5.50
 444.00   12.50   17.00    8.00
 445.00   15.00   19.83   10.50
 446.00   17.83   22.67   13.00
 447.00   20.67   25.50   15.83
 448.00   23.50   28.33   18.67
 449.00   26.33   31.17   21.50
 450.00   29.17   34.00   24.33
 451.00   32.00   34.00   27.17
 452.00   32.00   34.00   30.00
 453.00   32.00   34.00   30.00
 454.00   32.00   34.00   30.00
 455.00   32.00   34.00   30.00
 456.00   32.00   34.00   30.00
 457.00   32.00   34.00   30.00
 458.00   32.00   34.00   30.00
 459.00   32.00   34.00   30.00
 460.00   32.00   34.00   30.00
 461.00   32.00   34.00   30.00
 462.00   32.00   34.00   30.00
 463.00   32.00   34.00   30.00
 464.00   32.00   34.00   30.00
 465.00   32.00   34.00   30.00
 466.00   32.00   34.00   30.00
 467.00   32.00   34.00   30.00
 468.00   32.00   34.00   30.00
 469.00   32.00   34.00   30.00
 470.00   32.00   34.00   30.00
 471.00   32.00   34.00   30.00
 472.00   32.00   34.00   30.00
 473.00   32.00   34.00   30.00
 474.00   32.00   34.00   30.00
 475.00   32.00   34.00   27.09
 476.00   29.09   34.00   24.18
 477.00   26.18   31.09   21.27
 478.00   23.27   28.18   18.36
 479.00   20.36   25.27   15.45
 480.00   17.45   22.36   12.55
 481.00   14.55   19.45    9.64
 482.00   11.64   16.55    6.73
 483.00    8.73   13.64    3.82
 484.00    5.82   10.73    0.91
 485.00    2.91    7.82   -2.00
 486.00    0.00    4.91   -2.00
 487.00    0.00    2.00   -2.00
 488.00    0.00    2.00   -2.00
 489.00    0.00    2.00   -2.00
 490.00    0.00    2.00   -2.00
 491.00    0.00    2.00   -2.00
 492.00    0.00    2.00   -2.00
 493.00    0.00    2.00   -2.00
 494.00    0.00    2.00   -2.00
 495.00    0.00    2.00   -2.00
 496.00    0.00    2.00   -2.00
 497.00    0.00    2.00   -2.00
 498.00    0.00    2.00   -2.00
 499.00    0.00    2.00   -2.00
 500.00    0.00    2.00   -2.00
 501.00    0.00    2.00   -2.00
 502.00    0.00    2.00   -2.00
 503.00    0.00    2.00   -2.00
 504.00    0.00    2.00   -2.00
 505.00    0.00    2.00   -2.00
 506.00    0.00    2.00   -2.00
 507.00    0.00    4.50   -2.00
 508.00    2.50    7.00   -2.00
 509.00    5.00    9.50    0.50
 510.00    7.50   12.00    3.00
 511.00   10.00   14.50    5.50
 512.00   12.50   17.00    8.00
 513.00   15.00   18.82   10.50
 514.00   16.82   20.64   13.00
 515.00   18.64   22.45   14.82
 516.00   20.45   24.27   16.64
 517.00   22.27   26.09   18.45
 518.00   24.09   27.91   20.27
 519.00   25.91   29.73   22.09
 520.00   27.73   31.55   23.91
 521.00   29.55   33.36   25.73
 522.00   31.36   35.18   27.55
 523.00   33.18   37.00   29.36
 524.00   35.00   38.67   31.18
 525.00   36.67   40.33   33.00
 526.00   38.33   42.00   34.67
 527.00   40.00   43.67   36.33
 528.00   41.67   45.33   38.00
 529.00   43.33   47.00   39.67
 530.00   45.00   48.67   41.33
 531.00   46.67   50.33   43.00
 532.00   48.33   52.00   44.67
 533.00   50.00   52.00   46.33
 534.00   50.00   52.00   48.00
 535.00   50.00   52.00   48.00
 536.00   50.00   52.00   48.00
 537.00   50.00   52.00   48.00
 538.00   50.00   52.00   48.00
 539.00   50.00   52.00   48.00
 540.00   50.00   52.00   48.00
 541.00   50.00   52.00   48.00
 542.00   50.00   52.00   48.00
 543.00   50.00   52.00   48.00
 544.00   50.00   52.00   48.00
 545.00   50.00   52.00   46.13
 546.00   48.13   52.00   44.25
 547.00   46.25   50.13   42.38
 548.00   44.38   48.25   40.50
 549.00   42.50   46.38   38.63
 550.00   40.63   44.50   36.75
 551.00   38.75   42.63   34.88
 552.00   36.88   40.75   33.00
 553.00   35.00   38.88   33.00
 554.00   35.00   37.00   33.00
 555.00   35.00   37.00   33.00
 556.00   35.00   37.00   33.00
 557.00   35.00   37.00   33.00
 558.00   35.00   37.00   33.00
 559.00   35.00   37.00   33.00
 560.00   35.00   37.00   33.00
 561.00   35.00   37.00   33.00
 562.00   35.00   37.00   33.00
 563.00   35.00   37.00   33.00
 564.00   35.00   37.00   33.00
 565.00   35.00   37.00   33.00
 566.00   35.00   37.00   33.00
 567.00   35.00   37.00   33.00
 568.00   35.00   37.00   29.50
 569.00   31.50   37.00   26.00
 570.00   28.00   33.50   22.50
 571.00   24.50   30.00   19.00
 572.00   21.00   26.50   15.50
 573.00   17.50   23.00   12.00
 574.00   14.00   19.50    8.50
 575.00   10.50   16.00    5.00
 576.00    7.00   12.50    1.50
 577.00    3.50    9.00   -2.00
 578.00    0.00    5.50   -2.00
 579.00    0.00    2.00   -2.00
 580.00    0.00    2.00   -2.00
 581.00    0.00    2.00   -2.00
 582.00    0.00    2.00   -2.00
 583.00    0.00    2.00   -2.00
 584.00    0.00    2.00   -2.00
 585.00    0.00    2.00   -2.00
 586.00    0.00    2.00   -2.00
 587.00    0.00    2.00   -2.00
 588.00    0.00    2.00   -2.00
 589.00    0.00    2.00   -2.00
 590.00    0.00    2.00   -2.00
 591.00    0.00    2.00   -2.00
 592.00    0.00    2.00   -2.00
 593.00    0.00    2.00   -2.00
 594.00    0.00    2.00   -2.00
 595.00    0.00    2.00   -2.00
 596.00    0.00    5.75   -2.00
 597.00    3.75    9.50   -2.00
 598.00    7.50   13.25    1.75
 599.00   11.25   17.00    5.50
 600.00   15.00   17.00    9.25
 601.00   15.00   17.00   13.00
 602.00   15.00   17.00   13.00
 603.00   15.00   17.00   13.00
 604.00   15.00   17.00   13.00
 605.00   15.00   17.00   13.00
 606.00   15.00   17.00   13.00
 607.00   15.00   17.00   13.00
 608.00   15.00   17.00   10.00
 609.00   12.00   17.00    7.00
 610.00    9.00   14.00    4.00
 611.00    6.00   11.00    1.00
 612.00    3.00    8.00   -2.00
 613.00    0.00    5.00   -2.00
 614.00    0.00    2.00   -2.00
 615.00    0.00    2.00   -2.00
 616.00    0.00    2.00   -2.00
 617.00    0.00    2.00   -2.00
 618.00    0.00    2.00   -2.00
 619.00    0.00    2.00   -2.00
 620.00    0.00    2.00   -2.00
 621.00    0.00    2.00   -2.00
 622.00    0.00    2.00   -2.00
 623.00    0.00    2.00   -2.00
 624.00    0.00    2.00   -2.00
 625.00    0.00    2.00   -2.00
 626.00    0.00    2.00   -2.00
 627.00    0.00    2.00   -2.00
 628.00    0.00    2.00   -2.00
 629.00    0.00    2.00   -2.00
 630.00    0.00    2.00   -2.00
 631.00    0.00    2.00   -2.00
 632.00    0.00    2.00   -2.00
 633.00    0.00    2.00   -2.00
 634.00    0.00    4.50   -2.00
 635.00    2.50    7.00   -2.00
 636.00    5.00    9.50    0.50
 637.00    7.50   12.00    3.00
 638.00   10.00   14.50    5.50
 639.00   12.50   17.00    8.00
 640.00   15.00   19.83   10.50
 641.00   17.83   22.67   13.00
 642.00   20.67   25.50   15.83
 643.00   23.50   28.33   18.67
 644.00   26.33   31.17   21.50
 645.00   29.17   34.00   24.33
 646.00   32.00   34.00   27.17
 647.00   32.00   34.00   30.00
 648.00   32.00   34.00   30.00
 649.00   32.00   34.00   30.00
 650.00   32.00   34.00   30.00
 651.00   32.00   34.00   30.00
 652.00   32.00   34.00   30.00
 653.00   32.00   34.00   30.00
 654.00   32.00   34.00   30.00
 655.00   32.00   34.00   30.00
 656.00   32.00   34.00   30.00
 657.00   32.00   34.00   30.00
 658.00   32.00   34.00   30.00
 659.00   32.00   34.00   30.00
 660.00   32.00   34.00   30.00
 661.00   32.00   34.00   30.00
 662.00   32.00   34.00   30.00
 663.00   32.00   34.00   30.00
 664.00   32.00   34.00   30.00
 665.00   32.00   34.00   30.00
 666.00   32.00   34.00   30.00
 667.00   32.00   34.00   30.00
 668.00   32.00   34.00   30.00
 669.00   32.00   34.00   30.00
 670.00   32.00   34.00   27.09
 671.00   29.09   34.00   24.18
 672.00   26.18   31.09   21.27
 673.00   23.27   28.18   18.36
 674.00   20.36   25.27   15.45
 675.00   17.45   22.36   12.55
 676.00   14.55   19.45    9.64
 677.00   11.64   16.55    6.73
 678.00    8.73   13.64    3.82
 679.00    5.82   10.73    0.91
 680.00    2.91    7.82   -2.00
 681.00    0.00    4.91   -2.00
 682.00    0.00    2.00   -2.00
 683.00    0.00    2.00   -2.00
 684.00    0.00    2.00   -2.00
 685.00    0.00    2.00   -2.00
 686.00    0.00    2.00   -2.00
 687.00    0.00    2.00   -2.00
 688.00    0.00    2.00   -2.00
 689.00    0.00    2.00   -2.00
 690.00    0.00    2.00   -2.00
 691.00    0.00    2.00   -2.00
 692.00    0.00    2.00   -2.00
 693.00    0.00    2.00   -2.00
 694.00    0.00    2.00   -2.00
 695.00    0.00    2.00   -2.00
 696.00    0.00    2.00   -2.00
 697.00    0.00    2.00   -2.00
 698.00    0.00    2.00   -2.00
 699.00    0.00    2.00   -2.00
 700.00    0.00    2.00   -2.00
 701.00    0.00    2.00   -2.00
 702.00    0.00    4.50   -2.00
 703.00    2.50    7.00   -2.00
 704.00    5.00    9.50    0.50
 705.00    7.50   12.00    3.00
 706.00   10.00   14.50    5.50
 707.00   12.50   17.00    8.00
 708.00   15.00   18.82   10.50
 709.00   16.82   20.64   13.00
 710.00   18.64   22.45   14.82
 711.00   20.45   24.27   16.64
 712.00   22.27   26.09   18.45
 713.00   24.09   27.91   20.27
 714.00   25.91   29.73   22.09
 715.00   27.73   31.55   23.91
 716.00   29.55   33.36   25.73
 717.00   31.36   35.18   27.55
 718.00   33.18   37.00   29.36
 719.00   35.00   38.67   31.18
 720.00   36.67   40.33   33.00
 721.00   38.33   42.00   34.67
 722.00   40.00   43.67   36.33
 723.00   41.67   45.33   38.00
 724.00   43.33   47.00   39.67
 725.00   45.00   48.67   41.33
 726.00   46.67   50.33   43.00
 727.00   48.33   52.00   44.67
 728.00   50.00   52.00   46.33
 729.00   50.00   52.00   48.00
 730.00   50.00   52.00   48.00
 731.00   50.00   52.00   48.00
 732.00   50.00   52.00   48.00
 733.00   50.00   52.00   48.00
 734.00   50.00   52.00   48.00
 735.00   50.00   52.00   48.00
 736.00   50.00   52.00   48.00
 737.00   50.00   52.00   48.00
 738.00   50.00   52.00   48.00
 739.00   50.00   52.00   48.00
 740.00   50.00   52.00   46.13
 741.00   48.13   52.00   44.25
 742.00   46.25   50.13   42.38
 743.00   44.38   48.25   40.50
 744.00   42.50   46.38   38.63
 745.00   40.63   44.50   36.75
 746.00   38.75   42.63   34.88
 747.00   36.88   40.75   33.00
 748.00   35.00   38.88   33.00
 749.00   35.00   37.00   33.00
 750.00   35.00   37.00   33.00
 751.00   35.00   37.00   33.00
 752.00   35.00   37.00   33.00
 753.00   35.00   37.00   33.00
 754.00   35.00   37.00   33.00
 755.00   35.00   37.00   33.00
 756.00   35.00   37.00   33.00
 757.00   35.00   37.00   33.00
 758.00   35.00   37.00   33.00
 759.00   35.00   37.00   33.00
 760.00   35.00   37.00   33.00
 761.00   35.00   37.00   33.00
 762.00   35.00   37.00   33.00
 763.00   35.00   37.00   29.50
 764.00   31.50   37.00   26.00
 765.00   28.00   33.50   22.50
 766.00   24.50   30.00   19.00
 767.00   21.00   26.50   15.50
 768.00   17.50   23.00   12.00
 769.00   14.00   19.50    8.50
 770.00   10.50   16.00    5.00
 771.00    7.00   12.50    1.50
 772.00    3.50    9.00   -2.00
 773.00    0.00    5.50   -2.00
 774.00    0.00    2.00   -2.00
 775.00    0.00    2.00   -2.00
 776.00    0.00    2.00   -2.00
 777.00    0.00    2.00   -2.00
 778.00    0.00    2.00   -2.00
 779.00    0.00    2.00   -2.00
 780.00    0.00    2.00   -2.00
 781.00    0.00    2.00   -2.00
 782.00    0.00    2.00   -2.00
 783.00    0.00    2.00   -2.00
 784.00    0.00    2.00   -2.00
 785.00    0.00    2.00   -2.00
